,Rank,Degree,Price,Volume,Type,Ratio
Mobius triple bio,136,8.5,2.7,33.0,Blonde,103.88888888888889
Queue de charrue triple,137,6.6,2.1,33.0,Blonde,103.71428571428571
Fagnes blonde,138,7.5,2.4,33.0,Blonde,103.125
Caracole,139,7.5,2.4,33.0,Ambrée,103.125
Philomène céleste,140,9.0,2.9,33.0,Blonde,102.41379310344828
Grimbergen triple,141,9.0,2.9,33.0,Blonde,102.41379310344828
Binchoise blonde,142,6.2,2.0,33.0,Blonde,102.3
Grimbergen double,143,6.5,2.1,33.0,Brune,102.14285714285714
Papegaie,144,8.0,2.6,33.0,Brune,101.53846153846153
Leopold 7 triple de hesbaye,145,8.0,2.6,33.0,Blonde,101.53846153846153
Rochehaut blonde triple ,146,8.0,2.6,33.0,Blonde,101.53846153846153
Brusseleir,147,8.0,2.6,33.0,Brune,101.53846153846153
Tête de mort Fût,148,8.1,2.0,25.0,Blonde,101.25
peak grand cru ,149,10.5,7.8,75.0,Brune,100.96153846153847
Tongerlo brune nox,150,6.7,2.2,33.0,Brune,100.49999999999999
urine ,151,7.0,2.3,33.0,Blonde,100.43478260869566
Tête de mort red ,152,8.2,2.7,33.0,Fruitée,100.2222222222222
Paranoia Fût,153,8.0,2.0,25.0,Blonde,100.0
Pêche Mel Bush Fût,154,8.0,2.0,25.0,Fruitée,100.0
Chouffe cherry Fût,155,8.0,2.0,25.0,Fruitée,100.0
Delirium red Fût,156,8.0,2.0,25.0,Fruitée,100.0
Delirium Tremens Fût,157,8.0,2.0,25.0,Blonde,100.0
Bertinchamps brune,158,7.0,3.5,50.0,Brune,100.0
Vraie bière (la),159,6.0,2.0,33.0,Blonde,99.0
Forgeronne,160,6.0,2.0,33.0,Ambrée,99.0
Betchard blonde,161,6.0,2.0,33.0,Blonde,99.0
St Hubertus Triple,162,7.2,2.4,33.0,Blonde,99.0
Chimay bleue,163,9.0,3.0,33.0,Trappiste,99.0
Fruit défendu,164,8.0,2.7,33.0,Brune,97.77777777777777
Sweet alma,165,8.0,2.7,33.0,Blonde,97.77777777777777
Big mama,166,8.0,2.7,33.0,Brune,97.77777777777777
Station 16 saison,167,8.0,2.7,33.0,Blonde,97.77777777777777
Sans grade,168,6.5,2.2,33.0,Blonde,97.49999999999999
Saint Idesbald blonde,169,6.5,2.2,33.0,Blonde,97.49999999999999
Bon secours myrtille,170,7.0,2.4,33.0,Fruitée,96.25
Tournay blonde,171,6.7,2.3,33.0,Blonde,96.1304347826087
St Hubertus Ambrée,172,7.2,2.5,33.0,Ambrée,95.03999999999999
Rulles triple,173,8.4,6.65,75.0,Blonde,94.73684210526315
Chimay 150,174,10.0,3.5,33.0,Trappiste,94.28571428571429
xx-Bitter,175,6.0,2.1,33.0,Blonde,94.28571428571428
Bertinchamps blonde,176,6.2,3.3,50.0,Blonde,93.93939393939394
houppe ,177,7.5,6.0,75.0,Blonde,93.75
Triple Galipette,178,8.8,3.1,33.0,Blonde,93.67741935483872
Corne du bois des pendus 6 blonde,179,5.9,2.1,33.0,Blonde,92.71428571428572
Babylone,180,7.0,2.5,33.0,Blonde,92.4
Triple Bertha,181,7.0,2.5,33.0,Blonde,92.4
Gauloise ambrée,182,5.6,2.0,33.0,Ambrée,92.39999999999999
Cuvée ds trolls,183,7.5,6.1,75.0,Blonde,92.21311475409837
Cuvée des trolls Fût,184,7.0,1.9,25.0,Blonde,92.10526315789474
Philomène hoptimale,185,7.2,2.6,33.0,Ambrée,91.38461538461537
Lindemans tarot noir,186,8.0,2.2,25.0,Fruitée,90.9090909090909
Kasteel red Fût,187,8.0,2.2,25.0,Fruitée,90.9090909090909
Lindemans tarot d'or,188,8.0,2.2,25.0,Fruitée,90.9090909090909
Val Dieu blonde,189,5.5,2.0,33.0,Blonde,90.75
St Hubertus Blanche Fût,190,7.2,2.0,25.0,Blanche,90.0
Tongerlo blonde lux,191,6.0,2.2,33.0,Blonde,89.99999999999999
Duvel 666,192,6.0,2.2,33.0,Blonde,89.99999999999999
Chouffe blanche,193,6.0,2.2,33.0,Blanche,89.99999999999999
Vedette IPA,194,6.0,2.2,33.0,Blonde,89.99999999999999
Lupulus hopéra,195,6.0,2.2,33.0,Blonde,89.99999999999999
Wander,196,6.0,2.2,33.0,Blonde,89.99999999999999
Li crochon blonde,197,6.8,1.9,25.0,Blonde,89.47368421052632
Queue de charrue brune,198,5.4,2.0,33.0,Brune,89.10000000000001
Fagnes blood orange,199,7.0,2.6,33.0,Fruitée,88.84615384615384
Delirium argentum,200,7.0,2.6,33.0,Ambrée,88.84615384615384
Kasteel rubus,201,7.0,2.6,33.0,Fruitée,88.84615384615384
Rulles brune,202,6.5,5.5,75.0,Brune,88.63636363636364
Diôle,203,6.5,5.5,75.0,Blonde,88.63636363636364
Houppe,204,7.5,2.8,33.0,Blonde,88.39285714285715
Ciney brune,205,7.0,2.0,25.0,Brune,87.5
Rulles blonde,206,7.0,6.0,75.0,Blonde,87.5
Fresh hops,207,5.5,2.1,33.0,Blonde,86.42857142857143
Atrium Avalanche ,208,6.8,2.6,33.0,Fruitée,86.3076923076923
Gouyasse,209,6.0,2.3,33.0,Blonde,86.08695652173914
Zinnebir,210,6.0,2.3,33.0,Blonde,86.08695652173914
Brugse zot blonde,211,6.0,2.3,33.0,Blonde,86.08695652173914
Abbaye bonne esperance,212,6.3,5.5,75.0,Blonde,85.9090909090909
Blonde du pays noir,213,7.0,2.7,33.0,Blonde,85.55555555555554
Delta IPA,214,6.5,2.54,33.0,Blonde,84.44881889763779
Noire du midi,215,6.9,2.7,33.0,Brune,84.33333333333333
Triple Karmeliet,216,8.4,7.5,75.0,Blonde,84.0
Queue de charrue ambrée,217,5.6,2.2,33.0,Ambrée,83.99999999999999
St Hubertus triple hop citra Fût,218,6.0,1.8,25.0,Blonde,83.33333333333333
Duvel 666 Fût,219,6.66,2.0,25.0,Blonde,83.25
Abbay bonne esperance,220,6.3,2.5,33.0,Blonde,83.16
Blanche de Bruxelles,221,4.5,1.8,33.0,Blanche,82.5
Bertinchamps légère,222,5.0,2.0,33.0,Blonde,82.5
Leffe ruby,223,5.0,2.0,33.0,Fruitée,82.5
Amer Amer,224,6.0,2.4,33.0,Blonde,82.5
Fumette (la),225,6.5,2.6,33.0,Ambrée,82.5
Quatre saison (IV saison),226,6.5,2.6,33.0,Blonde,82.5
Saint Monon au miel,227,6.5,2.6,33.0,Ambrée,82.5
Peak blanche IPA ,228,6.5,2.6,33.0,Blanche,82.5
Rasta trolls,229,7.0,2.8,33.0,Blonde,82.5
Epervier,230,7.0,2.8,33.0,Blonde,82.5
Curieuse neus,231,7.5,3.0,33.0,Blonde,82.5
St Hubertus Ambrée Fût,232,7.2,2.2,25.0,Ambrée,81.81818181818181
Quintine bio,233,5.9,2.4,33.0,Blonde,81.12500000000001
Lindemans tarot d'or Fût,234,8.0,2.5,25.0,Fruitée,80.0
Marteau,235,8.0,3.3,33.0,Blonde,80.0
Delirium red,236,8.0,7.5,75.0,Fruitée,80.0
Kasteel rubus Fût,237,7.0,2.2,25.0,Fruitée,79.54545454545453
Sarazen bio,238,6.5,2.7,33.0,Blonde,79.44444444444444
Gembloux fruitée dans les bois,239,6.5,2.7,33.0,Fruitée,79.44444444444444
Ename blonde,240,6.5,2.7,33.0,Blonde,79.44444444444444
Westmalle extra,241,4.8,2.0,33.0,Blonde,79.2
100 PAP,242,6.0,2.5,33.0,Ambrée,79.2
Saison 1858,243,6.0,2.5,33.0,Blonde,79.2
Charlesroy Bancloque,244,6.0,2.5,33.0,Ambrée,79.2
Waterloo Cherry,245,6.0,2.5,33.0,Fruitée,79.2
franc belge,246,5.2,2.2,33.0,Blonde,77.99999999999999
Jungle Joy,247,6.6,2.8,33.0,Ambrée,77.78571428571428
Bertinchamps ipa Fût ,248,5.6,1.8,25.0,Blonde,77.77777777777777
Radine ,249,6.3,2.7,33.0,Blonde,77.0
Rochehaut IPA,250,7.0,3.0,33.0,Blonde,77.0
Bruxellensis,251,6.5,2.8,33.0,Ambrée,76.60714285714286
Lindemans Faro,252,5.0,4.9,75.0,Ambrée,76.53061224489795
Super fresca,253,6.0,2.6,33.0,Blonde,76.15384615384615
Six Wheat (VI),254,6.0,2.6,33.0,Blonde,76.15384615384615
Bastogne Pale Ale,255,5.5,2.4,33.0,Blonde,75.625
Bourgogne des flandres,256,5.0,2.2,33.0,Brune,75.0
Maredsous 6,257,6.0,6.0,75.0,Blonde,75.0
Delirium tremens,258,8.3,8.3,75.0,Blonde,75.0
Kasteel extra,259,4.5,2.0,33.0,Blonde,74.25
Embuscade,260,5.8,2.6,33.0,Fruitée,73.61538461538461
Chatte (la),261,6.0,2.7,33.0,Blonde,73.33333333333333
Radine triple,262,6.0,2.7,33.0,Blonde,73.33333333333333
St bernardus witbier,263,5.5,2.5,33.0,Blanche,72.6
Durbuy,264,5.5,2.5,33.0,Ambrée,72.6
Brassin des Princes,265,5.5,2.5,33.0,Blonde,72.6
Grisette bio gluten free,266,5.5,1.9,25.0,Blonde,72.36842105263159
Smashine,267,6.3,2.9,33.0,Blonde,71.6896551724138
Blanche de Bruxelles rosée,268,4.5,2.1,33.0,Fruitée,70.71428571428571
Duchesse de bourgogne,269,6.2,2.2,25.0,Brune,70.45454545454545
Ciney blonde,270,7.0,2.5,25.0,Blonde,70.0
Bourgogne des flandres Fût,271,5.0,1.8,25.0,Brune,69.44444444444444
Bertinchamps pamplemousse Fût,272,5.0,1.8,25.0,Fruitée,69.44444444444444
Polarius,273,5.0,2.4,33.0,Blonde,68.75
Rendez vous,274,5.2,2.5,33.0,Blonde,68.64
Bornier vice ,275,6.0,2.9,33.0,Blanche,68.27586206896552
Orval,276,6.2,3.0,33.0,Trappiste,68.2
Curtius,277,7.0,7.7,75.0,Blonde,68.18181818181819
Ardenne Rouge ,278,7.0,3.4,33.0,Fruitée,67.94117647058823
Taras Boulba,279,4.5,2.2,33.0,Blonde,67.5
Troublette,280,5.6,2.8,33.0,Blanche,66.0
Wood stout,281,8.0,4.1,33.0,Brune,64.39024390243902
Rulles estivale,282,5.0,5.9,75.0,Blonde,63.559322033898304
Chimay dorée,283,4.8,2.5,33.0,Trappiste,63.36
Kerel Grapefruit,284,4.0,2.1,33.0,Blonde,62.857142857142854
Frambo sour power,285,5.5,2.9,33.0,Fruitée,62.58620689655173
Blanche de Namur,286,4.5,1.8,25.0,Blanche,62.5
Lindemans gueuze,287,4.5,1.8,25.0,Ambrée,62.5
Mirakel,288,6.0,7.2,75.0,Blonde,62.5
Petite vertue (la),289,4.7,2.5,33.0,Ambrée,62.04
Philomène florale,290,5.5,6.7,75.0,Blonde,61.56716417910447
Arsenal,291,5.4,2.9,33.0,Blanche,61.448275862068975
Houppe Jambe en l'air,292,4.8,2.6,33.0,Blonde,60.92307692307692
Goliath blonde,293,6.0,7.5,75.0,Blonde,60.0
Wittekerke rosée,294,4.3,1.8,25.0,Fruitée,59.72222222222222
Lindemans faro,295,4.2,1.8,25.0,Ambrée,58.33333333333333
Wunder Lager,296,3.8,2.2,33.0,Blonde,56.99999999999999
Black Mamba,297,4.3,2.5,33.0,Brune,56.760000000000005
Bacchus,298,4.5,3.0,37.5,Brune,56.25
Floris mangue ,299,4.6,2.7,33.0,Fruitée,56.222222222222214
Newton,300,3.5,2.1,33.0,Fruitée,55.0
bacchus kriek ,301,5.8,3.5,33.0,Fruitée,54.68571428571429
Rodenbach,302,5.2,2.4,25.0,Fruitée,54.16666666666667
Mongozo coconut,303,4.5,2.8,33.0,Fruitée,53.03571428571429
Empire (l’),304,4.5,2.8,33.0,Blonde,53.03571428571429
Liefmans fruitesse kriek,305,3.8,1.8,25.0,Fruitée,52.77777777777778
Mongozo banane,306,4.5,2.9,33.0,Fruitée,51.20689655172414
Floris honey,307,4.3,2.8,33.0,Fruitée,50.67857142857143
Timmermans pêche ,308,4.0,2.0,25.0,Fruitée,50.0
Mongozo mango,309,4.5,3.1,33.0,Fruitée,47.90322580645161
Timmermans framboise,310,4.0,2.1,25.0,Fruitée,47.61904761904762
Lupulus fructus Fût,311,4.0,2.1,25.0,Fruitée,47.61904761904762
Mystic cerise,312,3.5,1.9,25.0,Fruitée,46.05263157894737
Lindemans apple,313,3.5,1.9,25.0,Fruitée,46.05263157894737
Lindemans cassis,314,3.5,1.9,25.0,Fruitée,46.05263157894737
Blanche de Namur pomme,315,3.1,1.8,25.0,Fruitée,43.05555555555556
Floris passion,316,3.6,2.8,33.0,Fruitée,42.42857142857143
Legia fruitée menthe cassis,317,3.0,2.4,33.0,Fruitée,41.25
Splash,318,2.9,2.4,33.0,Blonde,39.875
Grisette fruits des bois,319,3.5,2.3,25.0,Fruitée,38.04347826086957
Floris apple,320,3.0,2.7,33.0,Fruitée,36.666666666666664
Lindemans framboise,321,2.5,1.9,25.0,Fruitée,32.89473684210527
Lindemans pêcheresse,322,2.5,1.9,25.0,Fruitée,32.89473684210527
Amaliris,323,2.0,2.4,33.0,Blonde,27.5
Trottinette,324,0.4,2.3,33.0,Blonde,5.739130434782609
Pico Bello,325,0.3,2.4,33.0,Blonde,4.125
Ritchie cola ,326,0.0,2.0,33.0,Fruitée,0.0
Ritchie grapefruit pineapple ,327,0.0,2.0,33.0,Fruitée,0.0
Ritchie citron framboise ,328,0.0,2.1,33.0,Fruitée,0.0
Liefmans 0 %,329,0.0,2.1,33.0,Fruitée,0.0
Bertinchamp passion 0%,330,0.0,2.5,33.0,Blonde,0.0
Bière des amis 0%,331,0.0,2.6,33.0,Blonde,0.0
