,Degree,Price,Volume,Type,Ratio
Waterloo Cherry,6.0,2.5,33.0,Fruitée,79.2
Westmalle extra,4.8,2.0,33.0,Blonde,79.2
Saison 1858,6.0,2.5,33.0,Blonde,79.2
franc belge,5.2,2.2,33.0,Blonde,77.99999999999999
Jungle Joy,6.6,2.8,33.0,Ambrée,77.78571428571428
Bertinchamps ipa Fût ,5.6,1.8,25.0,Blonde,77.77777777777777
Radine ,6.3,2.7,33.0,Blonde,77.0
Rochehaut IPA,7.0,3.0,33.0,Blonde,77.0
Bruxellensis,6.5,2.8,33.0,Ambrée,76.60714285714286
Lindemans Faro,5.0,4.9,75.0,Ambrée,76.53061224489795
Six Wheat (VI),6.0,2.6,33.0,Blonde,76.15384615384615
Super fresca,6.0,2.6,33.0,Blonde,76.15384615384615
Bastogne Pale Ale,5.5,2.4,33.0,Blonde,75.625
Bourgogne des flandres,5.0,2.2,33.0,Brune,75.0
Delirium tremens,8.3,8.3,75.0,Blonde,75.0
Kasteel extra,4.5,2.0,33.0,Blonde,74.25
Embuscade,5.8,2.6,33.0,Fruitée,73.61538461538461
Chatte (la),6.0,2.7,33.0,Blonde,73.33333333333333
Radine triple,6.0,2.7,33.0,Blonde,73.33333333333333
St bernardus witbier,5.5,2.5,33.0,Blanche,72.6
Durbuy,5.5,2.5,33.0,Ambrée,72.6
Brassin des Princes,5.5,2.5,33.0,Blonde,72.6
Grisette bio gluten free,5.5,1.9,25.0,Blonde,72.36842105263159
Smashine,6.3,2.9,33.0,Blonde,71.6896551724138
Blanche de Bruxelles rosée,4.5,2.1,33.0,Fruitée,70.71428571428571
Duchesse de bourgogne,6.2,2.2,25.0,Brune,70.45454545454545
Ciney blonde,7.0,2.5,25.0,Blonde,70.0
Bertinchamps pamplemousse Fût,5.0,1.8,25.0,Fruitée,69.44444444444444
Bourgogne des flandres Fût,5.0,1.8,25.0,Brune,69.44444444444444
Polarius,5.0,2.4,33.0,Blonde,68.75
Rendez vous,5.2,2.5,33.0,Blonde,68.64
Bornier vice ,6.0,2.9,33.0,Blanche,68.27586206896552
Orval,6.2,3.0,33.0,Trappiste,68.2
Ardenne Rouge ,7.0,3.4,33.0,Fruitée,67.94117647058823
Taras Boulba,4.5,2.2,33.0,Blonde,67.5
Curtius,7.0,3.9,37.5,Blonde,67.3076923076923
Troublette,5.6,2.8,33.0,Blanche,66.0
Wood stout,8.0,4.1,33.0,Brune,64.39024390243902
Rulles estivale,5.0,5.9,75.0,Blonde,63.559322033898304
Chimay dorée,4.8,2.5,33.0,Trappiste,63.36
Kerel Grapefruit,4.0,2.1,33.0,Blonde,62.857142857142854
Frambo sour power,5.5,2.9,33.0,Fruitée,62.58620689655173
Blanche de Namur,4.5,1.8,25.0,Blanche,62.5
Mirakel,6.0,7.2,75.0,Blonde,62.5
Lindemans gueuze,4.5,1.8,25.0,Ambrée,62.5
Petite vertue (la),4.7,2.5,33.0,Ambrée,62.04
Philomène florale,5.5,6.7,75.0,Blonde,61.56716417910447
Arsenal,5.4,2.9,33.0,Blanche,61.448275862068975
Houppe Jambe en l'air,4.8,2.6,33.0,Blonde,60.92307692307692
Goliath blonde,6.0,7.5,75.0,Blonde,60.0
Wittekerke rosée,4.3,1.8,25.0,Fruitée,59.72222222222222
Lindemans faro,4.2,1.8,25.0,Ambrée,58.33333333333333
Wunder Lager,3.8,2.2,33.0,Blonde,56.99999999999999
Black Mamba,4.3,2.5,33.0,Brune,56.760000000000005
Bacchus,4.5,3.0,37.5,Brune,56.25
Floris mangue ,4.6,2.7,33.0,Fruitée,56.222222222222214
Newton,3.5,2.1,33.0,Fruitée,55.0
bacchus kriek ,5.8,3.5,33.0,Fruitée,54.68571428571429
Rodenbach,5.2,2.4,25.0,Fruitée,54.16666666666667
Empire (l’),4.5,2.8,33.0,Blonde,53.03571428571429
Mongozo coconut,4.5,2.8,33.0,Fruitée,53.03571428571429
Liefmans fruitesse kriek,3.8,1.8,25.0,Fruitée,52.77777777777778
Mongozo banane,4.5,2.9,33.0,Fruitée,51.20689655172414
Floris honey,4.3,2.8,33.0,Fruitée,50.67857142857143
Timmermans pêche ,4.0,2.0,25.0,Fruitée,50.0
Mongozo mango,4.5,3.1,33.0,Fruitée,47.90322580645161
Lupulus fructus Fût,4.0,2.1,25.0,Fruitée,47.61904761904762
Timmermans framboise,4.0,2.1,25.0,Fruitée,47.61904761904762
Mystic cerise,3.5,1.9,25.0,Fruitée,46.05263157894737
Lindemans cassis,3.5,1.9,25.0,Fruitée,46.05263157894737
Lindemans apple,3.5,1.9,25.0,Fruitée,46.05263157894737
Blanche de Namur pomme,3.1,1.8,25.0,Fruitée,43.05555555555556
Floris passion,3.6,2.8,33.0,Fruitée,42.42857142857143
Legia fruitée menthe cassis,3.0,2.4,33.0,Fruitée,41.25
Splash,2.9,2.4,33.0,Blonde,39.875
Grisette fruits des bois,3.5,2.3,25.0,Fruitée,38.04347826086957
Floris apple,3.0,2.7,33.0,Fruitée,36.666666666666664
Lindemans pêcheresse,2.5,1.9,25.0,Fruitée,32.89473684210527
Lindemans framboise,2.5,1.9,25.0,Fruitée,32.89473684210527
Amaliris,2.0,2.4,33.0,Blonde,27.5
Trottinette,0.4,2.3,33.0,Blonde,5.739130434782609
Pico Bello,0.3,2.4,33.0,Blonde,4.125
Ritchie citron framboise ,0.0,2.1,33.0,Fruitée,0.0
Bière des amis 0%,0.0,2.6,33.0,Blonde,0.0
Ritchie grapefruit pineapple ,0.0,2.0,33.0,Fruitée,0.0
Bertinchamp passion 0%,0.0,2.5,33.0,Blonde,0.0
Ritchie cola ,0.0,2.0,33.0,Fruitée,0.0
Liefmans 0 %,0.0,2.1,33.0,Fruitée,0.0
